In,Out,date,weekday,hour,year,month,dayofyear,weekofyear,holiday
671,631,17,2,13,2013,7,198,29,0
767,595,17,2,14,2013,7,198,29,0
732,746,17,2,15,2013,7,198,29,0
781,778,17,2,16,2013,7,198,29,0
716,686,17,2,17,2013,7,198,29,0
619,490,17,2,18,2013,7,198,29,0
444,398,17,2,19,2013,7,198,29,0
319,302,17,2,20,2013,7,198,29,0
224,340,17,2,21,2013,7,198,29,0
151,161,17,2,22,2013,7,198,29,0
77,97,17,2,23,2013,7,198,29,0
62,35,18,3,0,2013,7,199,29,0
22,20,18,3,1,2013,7,199,29,0
17,22,18,3,2,2013,7,199,29,0
10,13,18,3,3,2013,7,199,29,0
12,16,18,3,4,2013,7,199,29,0
38,58,18,3,5,2013,7,199,29,0
104,133,18,3,6,2013,7,199,29,0
281,323,18,3,7,2013,7,199,29,0
382,514,18,3,8,2013,7,199,29,0
397,685,18,3,9,2013,7,199,29,0
510,768,18,3,10,2013,7,199,29,0
660,763,18,3,11,2013,7,199,29,0
683,614,18,3,12,2013,7,199,29,0
633,650,18,3,13,2013,7,199,29,0
674,668,18,3,14,2013,7,199,29,0
734,694,18,3,15,2013,7,199,29,0
777,734,18,3,16,2013,7,199,29,0
799,669,18,3,17,2013,7,199,29,0
762,551,18,3,18,2013,7,199,29,0
564,411,18,3,19,2013,7,199,29,0
422,343,18,3,20,2013,7,199,29,0
272,348,18,3,21,2013,7,199,29,0
180,201,18,3,22,2013,7,199,29,0
106,117,18,3,23,2013,7,199,29,0
56,59,19,4,0,2013,7,200,29,0
30,25,19,4,1,2013,7,200,29,0
20,17,19,4,2,2013,7,200,29,0
17,26,19,4,3,2013,7,200,29,0
23,24,19,4,4,2013,7,200,29,0
37,51,19,4,5,2013,7,200,29,0
99,144,19,4,6,2013,7,200,29,0
276,318,19,4,7,2013,7,200,29,0
385,535,19,4,8,2013,7,200,29,0
407,677,19,4,9,2013,7,200,29,0
565,795,19,4,10,2013,7,200,29,0
711,810,19,4,11,2013,7,200,29,0
788,700,19,4,12,2013,7,200,29,0
728,689,19,4,13,2013,7,200,29,0
889,722,19,4,14,2013,7,200,29,0
963,755,19,4,15,2013,7,200,29,0
1039,855,19,4,16,2013,7,200,29,0
988,705,19,4,17,2013,7,200,29,0
806,581,19,4,18,2013,7,200,29,0
722,491,19,4,19,2013,7,200,29,0
